"This file (cmr-smslareunion-tei-v1-answers.csv) collects the answers to the questionnaire ""cmr-smslareunion-tei-v1-questionnaire.pdf"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID;SEXE;AGE;LG_MAT_S;LG_MAT_C;LG_MAT_F;LG_MAT_O;LG_MAT_OTXT;LG_HOME_S;LG_HOME_C;LG_HOME_F;LG_HOME_O;LG_HOME_OTXT;LG_FRIEND_S;LG_FRIEND_C;LG_FRIEND_F;LG_FRIEND_O;LG_FRIEND_OTXT;LG_JOB_S;LG_JOB_C;LG_JOB_F;LG_JOB_O;LG_JOB_OTXT;STUDIES;STUDIES_TYPE;JOB;ZIP_HOME;ZIP_JOB;SMS_TIME;COUNT_WEEK;DICO;CHAT;FORUM;MAIL;WEB;DEST_JEUX;DEST_AMIS;DEST_FAM;DEST_COLL;DEST_O;DEST_OTXT;LG_DEST;LG_DESTF_S;LG_DESTF_C;LG_DESTF_F;LG_DESTF_O;LG_DESTF_OTXT;LG_DESTCON_S;LG_DESTCON_C;LG_DESTCON_F;LG_DESTCON_O;LG_DESTCON_OTXT;LG_DESTFAM_S;LG_DESTFAM_C;LG_DESTFAM_F;LG_DESTFAM_O;LG_DESTFAM_OTXT;LG_DESTCOL_S;LG_DESTCOL_C;LG_DESTCOL_F;LG_DESTCOL_O;LG_DESTCOL_OTXT;LG_DESTO_O;LG_DESTO_OTXT;DECODE;LG_SMS_NO;LG_SMS_FR;LG_SMS_CR;LG_SMS_O;LG_SMS_OTXT;LG_MIX;LG_MIX_S;LG_MIX_C;LG_MIX_F;LG_MIX_O;LG_MIX_OTXT;H_LEC;LEC_T_JOU;LEC_T_BD;LEC_T_WEB;LEC_T_SONG;LEC_T_BOOK;LEC_T_O;LEC_T_OTXT;LEC_CR;LEC_CR_JOU;LEC_CR_BD;LEC_CR_WEB;LEC_CR_SONG;LEC_CR_BOOK;LEC_CR_O;LEC_CR_OTXT;REDAC;REDAC_MOTS;REDAC_TRA;REDAC_JI;REDAC_O;REDAC_OTXT;REDAC_COMMENT;REDAC_CR;REDAC_CR_COMMENT;POB_PARTICIP;POB_COMMENT;FORM_DATE
cmr-slr-c001-p0001;f;58;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac;g;admin;97490;97490;3to5;less5;no;jms;rare;tsjours;jms;4;3;1;2;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;yes;;;;;no;;;;;;1;yes;;yes;;yes;;;no;;;;;;;;yes;yes;yes;;;;les papiers administratifs  régulièrement;no;;;je n'écris pas en language SMS;15/04/2008 08:55
cmr-slr-c001-p0002;m;24;;;yes;;;;yes;;;;;yes;yes;;;;yes;yes;;;bac3;g;sans;97490;97400;more5;50to100;yes;rare;tsjours;tsjours;jms;4;1;2;3;0;;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;yes;anglais;3;yes;;yes;;yes;;;no;;;;;;;;no;;;;;;;no;;;le plus bref possible;15/04/2008 10:15
cmr-slr-c001-p0003;m;20;;yes;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac3;g;sans;97429;97400;3to5;50to100;no;rare;regul;rare;jms;0;3;2;5;1;conjoint;yes;yes;yes;yes;;;;;yes;;;;;yes;;;;;yes;;;;;moy;;yes;yes;;;yes;;yes;yes;yes;anglais;1;yes;yes;yes;;yes;;;no;;;;;;;;no;;;;;;;no;;;Je racourcie les mots dans le but de n'evoyer qu'un seul sms;15/04/2008 10:42
cmr-slr-c001-p0004;f;22;;yes;yes;yes;anglais;;yes;yes;;;;yes;yes;yes;anglais;;;yes;;;bac4;g;sans;97490;97490;more5;10to20;no;rare;rare;regul;jms;4;1;2;3;0;;yes;;yes;yes;yes;anglais;;yes;yes;yes;anglais;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;anglais;2;;;;;yes;;;no;;;;;;;;yes;yes;yes;;yes;travail;pour faire mes devoirs tous les soirs;no;;692095802,1;en n'importe comment!;15/04/2008 10:50
cmr-slr-c001-p0005;f;23;;;yes;;;;;yes;;;;;yes;;;;;yes;;;bac1;g;sans;97490;;more5;5to10;no;rare;tsjours;tsjours;rare;3;2;1;0;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;;;;no;;;;;;10;yes;;yes;yes;yes;;;yes;;;yes;;;;;yes;yes;yes;;yes;prise de notes, rédaction, ...;pour mes travaux d'études, pour ma démarche de création d'entreprise. Tous les jours;no;;;J'essaie d'écrire le maximum de mots possible en veillant à ce que tout soit lisible. ;15/04/2008 10:55
cmr-slr-c001-p0006;f;30;;yes;;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac;p;sans;97440;97400;more5;5to10;no;tsjours;rare;regul;rare;5;2;4;3;1;conjoint;yes;;;yes;;;;;yes;;;;yes;;;;;;yes;;;yes;français;moy;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;;yes;;;yes;;;;yes;;;;yes;yes;yes;;;;poeme,correspondance la frequence rarement;no;;692444773;j essais d écrire le plus souvent possible sans message coder pour que sa soit le plus compréhensible que possible.j essais d eviter au maximum le langage sms pour éviter l oublie de l orthographe.Mais je met quelque mots que je sais que je je n aurais pas de problème à écrire en toute lettre.;15/04/2008 11:09
cmr-slr-c001-p0007;f;27;;yes;yes;;;;yes;yes;;;;yes;yes;;;;yes;yes;;;bac;g;admin;97470;97490;more5;20to50;no;jms;rare;regul;jms;4;2;3;5;1;Mon amoureux;yes;;yes;yes;;;;yes;yes;;;;yes;;;;;;yes;;;yes;Créole;moy;;yes;yes;;;yes;;yes;yes;yes;Anglais;2;yes;;;;;yes;Revues;no;;;;;;;;yes;yes;;;;;Pour ne pas oublier ce que j'ai a faire;yes;Pour rigoler par mail entre amis;692794128,1;En abrégeant au maximum des mots,en utilisant des chiffres,des signes,le créole;15/04/2008 11:37
cmr-slr-c001-p0008;f;18;;yes;;;;;;yes;;;;yes;yes;;;;;yes;;;bac;g;sans;97412;97490;3to5;more100;no;tsjours;regul;regul;regul;4;1;2;3;0;;yes;;yes;yes;;;;;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;yes;ANGLAIS ET ALLEMAND;4;yes;;yes;;yes;;;yes;;yes;;;yes;;;yes;yes;;;;;pour mémoriser les choses les plus importante. Je le fais très souvent.;yes;Pour passer des petits mots à mes amis...;;"C'est une façon d'écrire beaucoup plus rapidement et de prendre beaucoup moins de place. 
Ainsi si il s'agit d'un sms cela coûtera moins cher.";15/04/2008 13:22
cmr-slr-c001-p0009;f;20;;yes;;;;;yes;yes;;;;yes;yes;;;;;yes;;;bac;g;sans;97433;97490;more5;20to50;no;tsjours;jms;regul;regul;3;1;2;0;0;;yes;;yes;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;;;fac;;yes;yes;yes;anglais et allemand;yes;;yes;yes;yes;anglais et allemand;3;yes;yes;yes;yes;yes;;;yes;;yes;;;;;;yes;yes;;;;;pour ne pas oublier, pour mémoriser;yes;pour ecrire à mes amis;;"Je les écrit en ""language texto"", pour écrire plus rapidement...";15/04/2008 13:24
cmr-slr-c001-p0010;f;19;;yes;yes;;;;yes;;;;;yes;yes;;;;;yes;;;bac2;g;sans;97450;97490;more5;more100;no;jms;jms;jms;jms;3;1;2;4;5;amour;yes;;yes;yes;;;;;yes;;;;yes;;;;;;yes;;;;;fac;;yes;yes;;;yes;;yes;yes;;;1;yes;;yes;yes;;;;yes;;;;yes;;;;yes;yes;;;;;pour parler en cour avec des amis cela se fait trés fréquemment;yes;sur msn;0692668513,0692398177,0692661327,0692250684,0692335575,0692338130,0693932502,0692841015,0692621743,0692194045,0692944261,0692262391,0692344272,0692810927;mes sms sont sous formes très abrégés et avec des chiffres;15/04/2008 13:54
cmr-slr-c001-p0011;f;22;;;yes;;;;;yes;;;;yes;yes;;;;;yes;;;bac4;p;sans;97490;97490;more5;5to10;no;rare;jms;regul;jms;5;1;2;3;0;;no;;;;;;;;;;;;;;;;;;;;;;;fac;;yes;;;;yes;;yes;yes;yes;anglais;2;yes;;yes;;yes;;;no;;;;;;;;yes;yes;yes;;;;notes diverses, devoirs d'études, tous les jours;no;;0692755853,0692450507,0693022009,0692768988;trés abrégé, aucune grammaire n'est respecté, c'est écrire comme je parle, les sons sont importants et pas l'orthographe dans un souci de rapidité;15/04/2008 13:59
cmr-slr-c001-p0012;m;18;;;yes;;;;yes;yes;;;;yes;yes;;;;;yes;;;lyc;g;enssec;97400;97490;3to5;10to20;no;tsjours;regul;tsjours;rare;3;1;2;4;0;;yes;;yes;yes;;;;yes;yes;yes;espagnol et anglais;;;yes;;;;;;yes;pas de collègues;;;moy;;yes;yes;yes;anglais;yes;;yes;yes;yes;anglais;3;yes;;yes;;yes;yes;des partitions.;no;;;;;;;;yes;;yes;;;;une heure par par mois pour ma correspondance personnelle.;no;;692967865,1;Cela dépend de la personne à qui je m'adresse. Entre copain(e)s, ce sera un mélange de langage sms, français, et un peu de créole. Mais en famille ce sera essentiellement un langage français avec une écriture correcte.;15/04/2008 17:17
cmr-slr-c001-p0013;m;18;;yes;yes;;;;yes;;yes;Mauricien Hindi Urdu;;yes;yes;yes;Mauricien Hindi Urdu;;yes;yes;;;lyc;g;sans;97419;97460;more5;20to50;no;jms;regul;regul;regul;0;1;1;0;0;;yes;;yes;yes;yes;Mauricien Hindi Urdu;;yes;yes;;;;yes;yes;yes;Mauricien Hindi Urdu;;yes;yes;;;;;fac;;yes;yes;yes;Mauricien Hindi Urdu;yes;;yes;yes;yes;Mauricien Hindi Urdu;7;;;yes;;yes;yes;Manuel Scolaire;yes;yes;;yes;;;yes;MSN;yes;yes;;;yes;Cours, Mail, MSN;Pour mes cours et à mes amis;yes;A mes amis;;Le plus court possible;15/04/2008 17:24
cmr-slr-c001-p0014;f;24;;yes;yes;;;;yes;yes;;;;;yes;;;;;yes;;;bac4;g;enssec;97490;97438;more5;5to10;yes;tsjours;rare;regul;jms;3;1;2;4;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;;;;yes;;yes;yes;;;5;yes;;yes;;yes;;;no;;;;;;;;yes;yes;yes;;;;rédaction de commentaires pour les élèves et courrier avec la hiérarchie;no;;;j'utilise peu les abréviations dans un souci de compréhension pour tous;15/04/2008 17:25
cmr-slr-c001-p0015;f;25;;yes;yes;;;;yes;yes;;;;yes;yes;yes;ANGLAIS;;;yes;;;bac3;g;admin;97438;97460;more5;more100;no;tsjours;rare;tsjours;jms;5;2;3;4;1;CONCUBIN;yes;;yes;yes;yes;ANGLAIS;;yes;yes;;;;yes;yes;;;;yes;yes;;;yes;FRANCAIS;fac;;yes;yes;yes;ANGLAIS;yes;;yes;yes;yes;ANGLAIS;7;yes;;yes;;yes;yes;DOSSIERS PROFESSIONNELS;yes;;;;yes;yes;;;yes;yes;yes;;;;BUT PROFESSIONNEL REGULIEREMENT, BUT PERSONNEL PLUS RAREMENT;yes;LETTRES A DES AMIS;;"J'ECRIS LES SMS COMME JE PARLE; EN FRANCAIS, ANGLAIS OU CREOL, JE CHANGE EN FONCTION DU DESTINATAIRE. JE SUIS ACCRO AUX SMS";15/04/2008 17:28
cmr-slr-c001-p0016;m;19;;;yes;;;;;;yes;Anglais;;;yes;;;;;yes;;;bac1;g;sans;97490;97490;3to5;5to10;no;tsjours;jms;rare;jms;5;2;1;3;0;;no;;;;;;;;;;;;;;;;;;;;;;;moy;;yes;;;;no;;;;;;1;;;yes;yes;yes;;;no;;;;;;;;no;;;;;;;no;;;non;15/04/2008 17:28
