I' vanne c'mec-là!,565_0,SEN:0
"Si t'encaissesses salades, i' te bonnira qu'i' a des combines de première pour affurer de l'artiche total i' marche à côte de ses lattes.",565_1,SEN:0
"L'autre jour, i' sorte du burlingue du boss.",565_2,SEN:0
"Le singe, c'est une vache, i' nous fait, s'i' retire pas fissa c' qu'i' vient de bonnir, moi j' prendsmon compte et j' mets les bouts !",565_3,SEN:0
Qu'est-ce,565_4,SEN:0
qu'i' t'a donc dégoisé?,565_5,SEN:0
J' te je fous à la lourde qu'i' m'a dit!,565_6,SEN:0
Ce sont deux pièces très agréables.,565_7,SEN:0
..,565_8,SEN:0
Pour recevoir c'est épatant.,565_9,SEN:0
Mais enfin on ne passe pas son temps À recevoir.,565_10,SEN:0
Alors ...,565_11,SEN:0
qu'est-ce,565_12,SEN:0
que vous voulez?,565_13,SEN:0
"Si je rentre le soir pour travailler, c'est impossible.",565_14,SEN:0
Ou bien il faut...,565_15,SEN:0
Il faut...,565_16,SEN:0
On met le couvert...,565_17,SEN:0
on fait...,565_18,SEN:0
j'ai aucun...,565_19,SEN:0
aucun coin pour travailler ...,565_20,SEN:0
Après le dîner.,565_21,SEN:0
Et encore maintenant que les enfants sont grands...,565_22,SEN:0
...travaille...,565_23,SEN:0
Je peux pas...,565_24,SEN:0
Quelquefois ils n'ont pas toujours à travailler.,565_25,SEN:0
Travaille à la couture...,565_26,SEN:0
Bon.,565_27,SEN:0
"Alors, quand les enfants étaient plus petits, ils se couchaient.",565_28,SEN:0
ça allait.,565_29,SEN:0
Nous étions tous les deux seuls.,565_30,SEN:0
Je pouvais travailler.,565_31,SEN:0
"Maintenant de temps en temps, il y a....",565_32,SEN:0
"Les enfants, il y en a un qui n'i rien à faire, ben, il veut tenir compagnie de sa mère.",565_33,SEN:0
Je ne peux tout de même pas empêcher.,565_34,SEN:0
Alors c'est extrêment gênant.,565_35,SEN:0
Ah!,565_36,SEN:0
il faudrait...,565_37,SEN:0
si avec une cloison.,565_38,SEN:0
Mais ce serait...,565_39,SEN:0
Oh!,565_40,SEN:0
mais si.,565_41,SEN:0
Une double porte ,565_42,SEN:0
